"","year","State_Acronym","SVRNCTAX","state","sales","year_effective","post_eff","rel_year","population"
"1011",1996,"MD",NA,"Maryland",50,2018,0,-22,5057.142
"1012",1996,"ME",NA,"Maine",50,2007,0,-11,1241.436
"1013",1996,"MI",36776,"Michigan",50,1991,1,5,9739.184
"1014",1996,"MN",3198,"Minnesota",70,2007,0,-11,4647.723
"1015",1996,"MO",12,"Missouri",33.34,2020,0,-24,5367.888
"1016",1996,"MS",28222,"Mississippi",33.34,NA,NA,NA,2709.925
"1017",1996,"MT",88303,"Montana",33.34,2025,0,-29,876.656
"1018",1996,"NC",1869,"North Carolina",50,2016,0,-20,7307.658
"1019",1996,"ND",115470,"North Dakota",33.34,2016,0,-20,642.858
"1020",1996,"NE",1492,"Nebraska",100,1988,1,8,1647.657
"1021",1996,"NH",0,"New Hampshire",50,2022,0,-26,1160.768
"1022",1996,"NJ",NA,"New Jersey",50,2012,0,-16,8009.624
"1023",1996,"NM",307231,"New Mexico",33.34,NA,NA,NA,1706.151
"1024",1996,"NV",46589,"Nevada",NA,NA,NA,NA,1596.476
"1025",1996,"NY",NA,"New York",50,2015,0,-19,18143.805
"1026",1996,"OH",8990,"Ohio",50,NA,NA,NA,11187.032
