"State","Year","Revenue"
"MA","1997",1213366
"MA","1998",1354899
"MA","1999",1249673
"MA","2000",1306353
"MA","2001",1211584
"MA","2002",812257
"MA","2003",1184610
"MA","2004",1301076
"MA","2005",1332796
"MA","2006",1859109
"MA","2007",2106898
"MA","2008",2179956
"MA","2009",1789553
"MA","2010",1834859
"MA","2011",1931571
"MA","2012",2001780
"MA","2013",1888449
"MA","2014",2194620
"MA","2015",2227381
"MA","2016",2333892
"MA","2017",2196474
"MA","2018",2408947
"MA","2019",2946667
"MA","2020",2532411
"MA","2021",3672995
"MD","1950",10463
"MD","1951",12283
"MD","1952",14627
"MD","1953",16304
"MD","1954",13961
"MD","1955",14639
"MD","1956",23574
"MD","1957",19457
"MD","1958",20346
